Symbol,SymbolYF,Sector,Industry,Currency,Description,VARkoef,BasisPrice,RoundingLimits,OutsideRTHbuy,ExcelTicker,LastClosePrice
8TRA,8TRA.DE,Industrials,Farm & Heavy Construction Machinery,EUR,Traton SE,1,26.0,0.02,True,,33.14
AAPL,AAPL,Technology,Consumer Electronics,USD,Apple Inc.,1,165.0,,True,,293.32
ABNB,ABNB,Consumer Cyclical,Travel Services,USD,"Airbnb, Inc.",1,136.95,,,,141.49
ADBE,ADBE,Technology,Software - Application,USD,Adobe Inc.,1,440.0,,,,253.04
ALV,ALV.DE,Financial Services,Insurance - Diversified,EUR,Allianz SE,1,231.0,,,,121.62
AMD,AMD,Technology,Semiconductors,USD,"Advanced Micro Devices, Inc.",1,80.0,,,XNAS:AMD,455.19
AMZN,AMZN,Consumer Cyclical,Internet Retail,USD,"Amazon.com, Inc.",1,122.6,,,,272.68
ASML,ASML.AS,Technology,Semiconductor Equipment & Materials,EUR,ASML Holding N.V.,1,1034.0,0.2,,XAMS:ASML,1592.02
BAC,BAC,Financial Services,Banks - Diversified,USD,Bank of America Corporation,1,35.4,,,XNYS:BAC,51.31
BARC,BARC.L,Financial Services,Banks - Diversified,GBp,Barclays PLC,1,2.45,,,XLON:BARC,4.376
BAS,BAS.DE,Basic Materials,Chemicals,EUR,BASF SE,1,41.06,,,,52.5
BKNG,BKNG,Consumer Cyclical,Travel Services,USD,Booking Holdings Inc.,1,75.0,,,,165.93
BRK B,BRK-B,Financial Services,Insurance - Diversified,USD,Berkshire Hathaway Inc.,1,400.0,,,XNYS:BRK.B,475.94
BX,BX,Financial Services,Asset Management,USD,Blackstone Inc.,1,107.9,,,,123.77
C,C,Financial Services,Banks - Diversified,USD,Citigroup Inc.,1,68.0,,,,125.55
CAT,CAT,Industrials,Farm & Heavy Construction Machinery,USD,Caterpillar Inc.,1,325.0,,,XNYS:CAT,897.45
COST,COST,Consumer Defensive,Discount Stores,USD,Costco Wholesale Corporation,1,446.0,,,,1008.79
CSCO,CSCO,Technology,Communication Equipment,USD,"Cisco Systems, Inc.",1,54.6,,,,96.57
CSX,CSX,Industrials,Railroads,USD,CSX Corporation,1,32.0,,,,44.83
DB,DB,Financial Services,Banks - Regional,USD,Deutsche Bank Aktiengesellschaft,1,18.18,,,,32.07
DBK,DBK.DE,Financial Services,Banks - Regional,EUR,Deutsche Bank Aktiengesellschaft,1,18.0,0.02,,XFRA:DBK,27.25
DDD,DDD,Technology,Computer Hardware,USD,3D Systems Corporation,1,1.7,,,XNYS:DDD,2.47
DJI,^DJI,Index,Index,USD,Dow Jones Industrial Average,0,28685.0,,,,49609.16
ENB,ENB,Energy,Oil & Gas Midstream,USD,Enbridge Inc.,1,30.0,,,XNYS:ENB,53.59
ETL,ETL.PA,Technology,Communication Equipment,EUR,Eutelsat Communications S.A.,1,3.05,,,XPAR:ETL,2.85
F,F,Consumer Cyclical,Auto Manufacturers,USD,Ford Motor Company,1,11.7,,,,12.32
FRHC,FRHC,Financial Services,Financial Conglomerates,USD,Freedom Holdings Corp.,1,75.0,,,,139.81
